###########################################
#Channel,        Pad,        X,        Y###
###########################################
409,         386,          2,           16
410,         458,          2,           19
411,         434,          2,           18
412,         387,          3,           16
413,         362,          2,           15
414,         435,          3,           18
415,         411,          3,           17
416,         363,          3,           15
417,         459,          3,           19
418,         412,          4,           17
419,         388,          4,           16
420,         460,          4,           19
421,         436,          4,           18
422,         389,          5,           16
423,         364,          4,           15
424,         437,          5,           18
425,         413,          5,           17
426,         365,          5,           15
427,         461,          5,           19
428,         414,          6,           17
429,         390,          6,           16
430,         462,          6,           19
431,         438,          6,           18
432,         391,          7,           16
433,         366,          6,           15
434,         439,          7,           18
435,         415,          7,           17
436,         367,          7,           15
437,         463,          7,           19
438,         416,          8,           17
439,         392,          8,           16
440,         464,          8,           19
441,         440,          8,           18
442,         393,          9,           16
443,         368,          8,           15
444,         441,          9,           18
445,         417,          9,           17
446,         369,          9,           15
447,         465,          9,           19
448,         418,          10,           17
449,         394,          10,           16
450,         466,          10,           19
451,         442,          10,           18
452,         395,          11,           16
453,         370,          10,           15
454,         443,          11,           18
455,         419,          11,           17
456,         371,          11,           15
457,         467,          11,           19
458,         420,          12,           17
459,         396,          12,           16
460,         468,          12,           19
461,         444,          12,           18
462,         397,          13,           16
463,         372,          12,           15
464,         445,          13,           18
465,         421,          13,           17
466,         373,          13,           15
467,         469,          13,           19
468,         422,          14,           17
469,         398,          14,           16
470,         470,          14,           19
471,         446,          14,           18
472,         399,          15,           16
473,         374,          14,           15
474,         447,          15,           18
475,         423,          15,           17
476,         375,          15,           15
477,         471,          15,           19
478,         424,          16,           17
479,         400,          16,           16
480,         472,          16,           19
481,         448,          16,           18
482,         401,          17,           16
483,         376,          16,           15
484,         449,          17,           18
485,         425,          17,           17
486,         377,          17,           15
487,         473,          17,           19
488,         426,          18,           17
489,         402,          18,           16
490,         474,          18,           19
491,         450,          18,           18
492,         403,          19,           16
493,         378,          18,           15
494,         451,          19,           18
495,         427,          19,           17
496,         379,          19,           15
497,         475,          19,           19
498,         428,          20,           17
499,         404,          20,           16
500,         476,          20,           19
501,         452,          20,           18
502,         405,          21,           16
503,         380,          20,           15
504,         453,          21,           18
505,         429,          21,           17
506,         381,          21,           15
507,         477,          21,           19
508,         430,          22,           17
509,         406,          22,           16
510,         478,          22,           19
511,         454,          22,           18
