###########################################
#Channel,        Pad,        X,        Y###
###########################################
419,         186,          18,           7
420,         234,          18,           9
421,         138,          18,           5
422,         185,          17,           7
423,         209,          17,           8
424,         137,          17,           5
425,         161,          17,           6
426,         208,          16,           8
427,         233,          17,           9
428,         160,          16,           6
429,         184,          16,           7
430,         232,          16,           9
431,         136,          16,           5
432,         183,          15,           7
433,         207,          15,           8
434,         135,          15,           5
435,         159,          15,           6
436,         206,          14,           8
437,         231,          15,           9
438,         158,          14,           6
439,         182,          14,           7
440,         230,          14,           9
441,         134,          14,           5
442,         181,          13,           7
443,         205,          13,           8
444,         133,          13,           5
445,         157,          13,           6
446,         204,          12,           8
447,         229,          13,           9
448,         156,          12,           6
449,         180,          12,           7
450,         228,          12,           9
451,         132,          12,           5
452,         179,          11,           7
453,         203,          11,           8
454,         131,          11,           5
455,         155,          11,           6
456,         202,          10,           8
457,         227,          11,           9
458,         154,          10,           6
459,         178,          10,           7
460,         226,          10,           9
461,         130,          10,           5
462,         177,          9,           7
463,         201,          9,           8
464,         129,          9,           5
465,         153,          9,           6
466,         200,          8,           8
467,         225,          9,           9
468,         152,          8,           6
469,         176,          8,           7
470,         224,          8,           9
471,         128,          8,           5
472,         175,          7,           7
473,         199,          7,           8
474,         127,          7,           5
475,         151,          7,           6
476,         198,          6,           8
477,         223,          7,           9
478,         150,          6,           6
479,         174,          6,           7
480,         222,          6,           9
481,         126,          6,           5
482,         173,          5,           7
483,         197,          5,           8
484,         125,          5,           5
485,         149,          5,           6
486,         196,          4,           8
487,         221,          5,           9
488,         148,          4,           6
489,         172,          4,           7
490,         220,          4,           9
491,         124,          4,           5
492,         171,          3,           7
493,         195,          3,           8
494,         123,          3,           5
495,         147,          3,           6
496,         194,          2,           8
497,         219,          3,           9
498,         146,          2,           6
499,         170,          2,           7
500,         218,          2,           9
501,         122,          2,           5
502,         169,          1,           7
503,         193,          1,           8
504,         121,          1,           5
505,         145,          1,           6
506,         192,          0,           8
507,         217,          1,           9
508,         144,          0,           6
509,         168,          0,           7
510,         216,          0,           9
511,         120,          0,           5
